"Proc","EventDur","EC1","EC2","EC3","Time","SeqIndx"
16,148,1,100,0,5,3
16,172,1,100,0,15,3
16,140,2,245,418,8,1
16,122,1,100,0,4,3
16,110,2,245,418,6,1
16,104,2,245,418,7,1
16,94,2,245,418,7,1
16,162,1,100,0,20,3
16,106,2,245,418,6,1
16,90,2,245,418,5,1
16,147,2,245,418,9,1
16,112,1,100,0,4,3
16,166,2,245,418,9,1
16,120,1,100,0,4,3
16,104,2,245,418,7,1
16,98,2,245,418,7,1
16,106,2,245,418,6,1
16,91,2,245,418,8,1
16,140,1,100,0,20,3
16,112,2,245,418,5,1
16,124,2,245,418,9,1
16,148,2,245,418,7,1
16,114,2,245,418,7,1
16,208,1,100,0,9,3
16,92,2,245,418,7,1
16,110,1,100,0,4,3
16,106,2,245,418,7,1
16,100,2,245,418,9,1
16,22,2,245,418,7,2
16,36,2,245,418,6,2
16,110,2,245,418,8,1
16,120,2,245,418,7,1
16,98,2,245,418,9,1
16,104,1,100,0,5,3
16,136,1,100,0,14,3
16,102,2,245,418,10,1
16,144,2,245,418,9,1
16,120,1,100,0,24,3
16,112,2,245,418,9,1
16,134,1,100,0,4,3
16,114,1,100,0,25,3
16,90,2,245,418,9,1
16,126,1,100,0,29,3
16,128,1,100,0,24,3
16,90,2,245,418,5,1
16,14,2,245,418,6,2
16,13801,2,204,319,10,157
16,140,2,245,418,9,1
16,100,2,245,418,7,1
16,141,1,100,0,26,3
16,118,2,245,418,8,1
16,146,1,100,0,25,3
16,154,2,245,418,7,1
16,160,2,245,418,8,1
16,104,2,245,418,7,1
16,92,2,245,418,7,1
16,96,2,245,418,5,1
16,118,1,100,0,4,3
16,140,1,100,0,5,3
16,130,1,100,0,27,3
16,114,1,100,0,5,3
16,102,2,245,418,6,1
16,108,2,245,418,7,1
16,126,1,100,0,4,3
16,144,1,100,0,25,3
16,127,1,100,0,27,3
16,96,2,245,418,10,1
16,484,2,245,418,7,5
16,152,1,100,0,13,3
16,112,2,245,418,7,1
16,120,1,100,0,27,3
16,106,2,245,418,7,1
16,13813,2,204,319,16,157
16,116,2,245,418,8,1
16,13785,2,250,405,11,169
16,92,2,245,418,8,1
16,165,1,100,0,4,20
16,156,1,100,0,10,3
16,12,2,245,418,7,2
16,142,1,100,0,24,3
16,13862,2,204,319,26,157
16,100,2,245,418,8,1
16,106,2,245,418,8,1
16,120,1,100,0,4,3
16,136,2,245,418,6,1
16,124,1,100,0,4,3
16,122,2,245,418,6,1
16,94,2,245,418,8,1
16,473,1,100,0,4,15
16,112,2,245,418,8,1
16,120,2,245,418,8,1
16,13882,2,204,319,23,157
16,92,2,245,418,6,1
16,134,1,100,0,26,3
16,108,2,245,418,8,1
16,140,1,100,0,15,3
16,164,2,245,418,8,1
16,134,2,245,418,6,1
16,100,2,245,418,10,1
16,148,1,100,0,14,3
16,148,1,100,0,15,3
16,240,1,100,0,5,3
16,88,1,100,0,24,9
16,112,1,100,0,19,3
16,440,2,245,418,8,1
16,106,2,245,418,8,1
16,128,1,100,0,26,3
16,148,2,245,418,7,1
16,92,2,245,418,6,1
16,134,1,100,0,14,3
16,96,2,245,418,5,1
16,94,2,245,418,9,1
16,96,2,245,418,8,1
16,112,2,245,418,8,1
16,106,2,245,418,8,1
16,164,1,100,0,4,3
16,100,2,245,418,6,1
16,122,1,100,0,15,3
16,125,1,100,0,29,3
16,102,2,245,418,9,1
16,424,2,245,418,9,1
16,104,2,245,418,8,1
16,124,2,245,418,8,1
16,142,1,100,0,19,3
16,13805,2,204,319,13,157
16,124,1,100,0,26,3
16,102,2,245,418,7,1
16,107,2,245,418,8,1
16,132,2,245,418,7,1
16,104,2,245,418,6,1
16,128,1,100,0,15,3
16,13456,2,204,319,17,153
16,98,2,245,418,7,1
16,108,2,245,418,9,1
16,104,2,245,418,9,1
16,106,2,245,418,7,1
16,116,2,245,418,6,1
16,974,1,100,0,4,9
16,214,2,204,317,29,61
16,118,1,100,0,29,3
16,98,2,245,418,7,1
16,494,2,245,418,8,1
16,140,1,100,0,24,3
16,96,2,245,418,6,1
16,13860,2,204,319,15,165
16,90,2,245,418,6,1
16,290,1,100,0,5,20
16,594,2,245,418,6,25
16,432,2,245,418,8,1
16,148,2,245,418,6,1
16,146,2,245,418,7,1
16,146,2,245,418,9,1
16,104,2,245,418,9,1
16,91,2,245,418,9,1
16,142,1,100,0,24,3
16,106,1,100,0,25,3
16,98,2,245,418,8,1
16,13869,2,204,319,12,157
16,132,2,245,418,9,1
16,118,1,100,0,4,3
16,150,1,100,0,23,3
16,13796,2,204,319,17,157
16,92,2,245,418,8,1
16,374,1,100,0,23,3
16,130,1,100,0,20,3
16,96,2,245,418,7,1
16,96,2,245,418,8,1
